Gene ID	2dpi	2dpi	3dpi	3dpi
PITG_20709	0.0	15.14	13.23	10.64
PITG_20710	0.0	5.03	1.16	1.27
PITG_20711	0.0	7.78	3.82	3.84
PITG_20714	19.38	28.61	16.47	16.11
PITG_20715	13.74	8.66	16.15	17.78
PITG_20716	0.0	0.0	0.55	0.29
PITG_20717	52.85	60.36	38.58	37.76
PITG_20718	90.39	101.86	221.92	227.92
PITG_20719	41.76	52.62	48.79	46.46
PITG_21154	0.0	0.0	0.36	0.15
PITG_33474	0.0	0.0	1.2	1.15
PITG_20854	0.0	19.56	12.46	13.37
PITG_20855	13.39	0.0	19.96	22.63
PITG_20856	0.0	0.0	9.1	7.46
PITG_20857	0.0	0.0	4.79	1.71
PITG_20858	0.0	76.3	44.13	43.47
PITG_20859	0.0	0.0	3.27	2.5
PITG_20571	0.0	0.0	1.83	2.94
PITG_20893	19.33	47.5	22.13	21.33
PITG_20895	3.95	0.0	3.6	4.2
PITG_20896	0.0	3.51	4.04	3.95
PITG_20808	65.63	46.52	54.1	58.16
PITG_20810	11.12	21.02	14.28	8.38
PITG_20811	0.0	0.0	1.88	1.6
PITG_20130	0.0	6.84	17.73	16.94
PITG_20134	0.0	0.0	18.78	14.88
PITG_20722	13.91	9.86	6.06	5.82
PITG_20723	10.85	82.04	8.71	10.78
PITG_20725	295.34	261.69	165.9	171.76
PITG_20762	51.94	49.09	35.31	35.96
PITG_20763	0.0	0.0	0.45	1.03
PITG_20764	5.1	4.82	0.85	0.85
PITG_20765	0.0	22.21	12.94	12.65
PITG_20766	0.0	3.61	4.03	3.84
PITG_20767	0.0	15.37	6.41	5.96
PITG_20768	0.0	0.0	0.49	0.73
PITG_20769	0.0	0.0	0.26	0.77
PITG_20770	0.0	0.0	1.58	1.07
PITG_20771	0.0	0.0	0.88	0.62
PITG_20772	0.0	0.0	0.66	0.89
PITG_20773	0.0	0.0	1.08	1.72
PITG_20774	0.0	7.29	0.88	0.69
PITG_20775	17.07	5.38	24.11	18.07
PITG_20777	6.91	6.53	24.02	24.98
PITG_20901	822.5	730.59	608.5	651.77
PITG_20902	0.0	0.0	0.98	0.66
PITG_20903	52.25	24.69	40.3	45.48
PITG_20904	190.39	131.96	136.11	147.32
PITG_20905	23.81	22.51	10.51	5.84
PITG_20906	61.72	23.33	63.42	66.91
PITG_20849	81.35	14.64	186.41	185.96
PITG_20927	39.09	24.63	25.52	23.84
PITG_20928	32.57	32.7	18.53	16.63
PITG_20929	13.8	13.04	1.5	3.14
PITG_21017	1.84	1.16	6.94	6.54
PITG_21018	11.27	35.52	38.53	37.5
PITG_20272	0.0	20.76	14.36	12.94
PITG_20273	52.65	38.7	35.82	36.5
PITG_20274	66.34	26.4	58.42	54.02
PITG_20957	0.0	0.0	2.09	1.35
PITG_20958	0.0	5.7	2.56	2.74
PITG_20959	10.35	0.0	1.07	1.98
PITG_20960	0.0	0.0	1.07	0.56
PITG_20965	12.04	11.38	3.35	3.89
PITG_20966	0.0	0.0	1.24	1.82
PITG_20970	20.57	38.89	18.45	18.71
PITG_20815	0.0	7.57	22.27	24.58
PITG_20818	20.39	0.0	3.86	4.51
PITG_20819	24.63	29.1	18.75	15.99
PITG_20820	8.52	6.9	4.99	5.49
PITG_20825	52.76	0.0	12.1	12.63
PITG_20453	9.84	9.3	2.68	3.18
PITG_20454	0.0	4.67	4.98	4.34
PITG_20455	0.0	0.0	0.27	0.74
PITG_20458	9.68	0.0	0.17	0.29
PITG_20941	0.0	0.0	4.36	4.55
PITG_20942	0.0	0.0	0.59	1.13
PITG_20944	9.49	4.49	3.35	3.21
PITG_20945	0.0	0.0	7.4	4.55
PITG_20947	0.0	0.0	1.32	0.41
PITG_20948	0.0	0.0	2.98	1.79
PITG_20685	41.08	135.9	31.8	42.03
PITG_20686	266.13	237.56	469.69	469.52
